날짜,리뷰
2021.07.08,생각보다 작네요 모델 컷 보고 클줄 알았는데.. 실측 사이즈를 재보고 살걸 그랬어요 깔끔하고 무난해서 오래 맬 수 있을 것 같아요 동생 사준건데 마음에 들어하네여
2021.06.29,생각보다 많이 들어가고 크기도 커서 나쁘지않습니다
2021.06.23,"가방이 빳빳해서 각이 잘 잡히고 쳐지지 않아서 좋으나, 안쪽 수납이 없어서 소지품 관리가 불편 합니다."
2021.06.18,"튼튼하고 짱짱해서 좋아요
수납도 괜찮은거같아요"
2021.06.10,사이즈는 딱 좋고 수납공간은 약간 부족한거 같아요
2021.06.04,무난하게 대학생이 맬 수 있는 가방인 것 같습니다!!
2021.05.30,칼하트 좋아해서 가방도 샀는데 수납공간도 많고 예쁘고 좋아용!!!
2021.05.03,"수납 공간 적긴한데 작고 예뻐요!
대학생 가방으로 딱!"
2021.04.30,이뻐요 딱 찾던 가방이라 만족하면서 쓰고 있어요 감사합니당
2021.04.27,아방한 느낌의 가방을 원했는데 그런 느낌보다는 슬림한 느낌이었어요 그래도 가방 자체는 소재나 색감 다 괜찮았고 편하게 매기 좋을거 같아요
2021.04.17,생각보다 크지 않은디 그냥 귀엽게 메고 다니기 좋아요
2021.04.10,"무난하게 막쓸 백팩을 찾았는데 재질 튼튼하고 좋네요. 칼하트라 재질 짱짱하고, 길드니 착용감도 좋아요. 싸게 잘샀습니다."
2021.04.10,아이가골라서주문하고 스스로 만족하며 잘들고다닙니다.너무좋아해요.가볍고 편합니다
2021.03.17,"맘에 드ㅂ니다! 엄마 위해서 사드렸어요!
디자인이 심플핮니다"
2021.03.04,"작다는 평도 있었는데 전 크지도, 작지도 않고 너무 좋았어요! 심플하고 무난하고 어디에도 다 잘어울릴 듯"
2021.02.28,"저는 이 가벼움이 최고라고 생각해요^^
큰 가방이 필요해서 비바스튜디오 백팩을 샀었는데.. 커서 좋긴 한데 무겁더라고요??
칼하트는 평소 적당한 양의 짐을 들고다닐 때 너무 좋고요 가방이 가벼워서 좋아요.
다만 가방 안의 다양한 수납 공간이 별로 없다는 점이 좀 아쉽고... 처음 받아서 꺼냈을 때 가방이 너무 빳빳해서 지퍼가 잘 안열린다는거 ㅠ많이 길들여야겠어요"
2021.02.13,"1.사이즈
작은 편입니다. 많이 들어갈 것 같진 않고
따로 수납공간은 앞 주머니가 다라서 은근의
불편함이 있을 순 있어요.

2.디자인
말할 부분이 없네요.. 이 깔끔함에 샀으니까요..ㅎㅎ

3.활용도
엄청 많이는 못 넣는 가방인 것이 장점이기에
적당한게 필요한 것만 넣어서 다니면 문제가 없을
것이고 밑에 받침대는 없으니 쏠림 현상은 어쩔 수
없네요...ㅎ"
2021.02.09,"사진이랑 똑같아요 귀여워서 좋습니당 ㅎㅎ
처음에 각지는게 너무 심해룡"
2021.02.06,"색감 재질 좋으며
사이즈가 보통이라 수납은 많이 되지 않습니다"
2021.02.03,15인치 노트북 들어가고도 자리가 넉넉하고 가방 자체가 가벼워서 너무 좋네요! 심플한 디자인..
2021.01.27,딱 예상했던 가방이라 좋아요! 생각보다는 조금 작아요 ㅋ 그래도 노트북 들어가고 딱 좋네요
2021.01.27,"남자친구랑 커플로 샀는데 좋아해용
가볍게 쓰기 좋아요!"
2022.04.01,그냥 깔끔하게 기본 가방이여서 무난하게 자주 매요!
2022.03.28,저렴한 무지백팩같은 퀄이긴 한데 가볍고 좋은 것 같네요
2022.03.28,"가방 사이즈도 좋고 심플해서 예뻐요
학교다닐때 가볍게 들고다니기 좋습니다.
주머니가 부족과 가방 열고 닫기가 조금 불편해서... 조금 아쉽네여"
2022.03.27,깔끔하고 크기도 적당하고 무난해요 지퍼가 좀 ㅂ벅ㅂ벅하긴 합니다
2022.03.27,가방 내부에 수납공간은 업고 밖에 주머니 처럼 달린 수납공간 하나가 끝이에요
2022.03.26,평범하네요 초반에 지퍼가 많이 빡빡하고 모양이 딱딱하게 잡혀있어요
2022.03.26,간단하게 이쁘고 잘 들어가요 무난한게 참 좋네옄
2022.03.25,가방가볍고 좋아요 근데 지퍼가 잘 안열려서 좀 불편해요
2022.03.24,좋아요 대학생가방으로 괜찮은거 같아요 잘 샀어요
2022.03.23,포장도 잘되어있고 생각보다 더 예쁜것 같습니다!!
2022.03.18,전투용으로 매기 좋아요. 크기는 적당합니다 딱 맞아요
2022.03.18,"노트북 자리가 없어서 아쉬웠지만
예뻐서 매고 다닙니다"
2022.03.16,무난하게 잘 매고 다닐 거 같아요!! 휘뚜루마뚜루 매기 좋은 기본탬 !
2022.03.15,16인치 노트북이 들어가는 사이즈입니다. 노트북 넣고 책 4권 정도 더 넣어 다니고 있습니다.
2022.03.14,"좋음
수납공간은 앞에 포켓하난데 딱히 필요없어서 만족"
2022.03.13,너무 색감이쁘구 재질도 좋네요 만족 또 만족합니다
2022.03.12,평소에 13인치 노트북이랑 책 몇권 같이 넣으려고 샀는데 만족합니다!
2022.03.10,"학원다닐때 가볍게 들고 다닐려고 구매했어요
그러기 때문에 수납은 딱히 중요하지 않아서 괜찮습니다!
필요한 최소한은 있는 정도라고 생각해서 무난템을 사용하기 좋을 것 같아요"
2022.03.09,사이즈가 정말 적당합니다. 몸에 딱 맞는 들고다니기 좋은
2022.03.08,동생 새학기 선물로 사줬어요 맘에 들어하네요 수납공간이 그닥 많지 않고 밑에 판도 없지만 이쁘고 가볍게 메기 좋네요
2022.03.07,너무 크지도 작지도 않아서 무난하게 착용하기좋아요
2022.03.04,"빳빳한 재질이라 처음엔 좀 힘들지만
그래도 무난하게 어디에나 들고다닐 수 있을 것 같아요.
사진이랑 똑같습니다."
2022.03.04,대학생활 하면서 수업때 쓰실거면 정말 추천해요 심플하고 디자인도 이뻐요
2022.03.04,"디자인도 심플해서 맘에들고 크기도 딱 좋아요!
가방 내부에 수납은 없는데 외부에 하나 있어서 깔끔하고 좋네용"
2022.03.03,간단한 짐 들고 다닐때 넘 좋아요 가방도 가볍고 짱 이쁩니다!!
2022.03.02,다 좋은데 사이즈가 좀 작아서 아쉽네요....책가방으로는 좀 아닌것 같아요..
2022.03.02,동생사줬는데 제가 더 많이 사용할 것 같네요. 수납공간도 많고 좋아요
2022.02.27,꽤 좋아요 잘 쓰고 있습니다 좀 짱짱한데 길들이죠 뭐
2022.02.27,들고 다니기에 적당한 크기고 이뻐요 지퍼는 좀 빡빡함
2022.02.26,사이즈도 너무 작거나 크지않고 학교가ㄹ때 휘두루 마뚜루 메기 조하요
2022.02.26,가방이 좀 눌려서 와서 놀랐는데 다시 피니까 괜찮았어요 근데 싼티는 납니다 그래도 이뻐요
2022.02.23,그냥 딱 가본스타일입니다 근데 지퍼가 퍽퍽합니다
2022.02.22,재질이 많이 빳빳해서 길들이는데 시간이 좀 필요할 것 같아용
2022.02.22,가방이 가볍고 생각외로 물건이 많이 들어가요 배송도 빨라요
2022.02.22,학교에 들고갈 용도로 샀는데 이뻐요 15인치 노트북 안 들어갈까 걱정했는데 넉넉하게 들어가네요! 조금 작은 거 같기도 하지만 가볍게 들고다니려고요
2022.02.22,가방이 생각보다 뻣뻣한 거 빼면 괜찮아요 딱 기본 아이템
2022.02.22,생각보다 굉장히 작아요 뭐 작으면 얼마나 작겠어 전공책은 다 들어가겠지 생각했는데 아니에요 ㅎㅎ
2022.02.21,아주아주 이쁘네요 친구들도 이쁘다고 하네요 짱
2022.02.19,너무 심플하고 예뻐서 마음에들어요 잘 사용할게요
2022.02.15,"가방은괜찮은데 수납공간이 넘 적어요.
새거라 지퍼도 ㅜㅜ아직 불편해요"
2022.02.15,"받자마자 신나서 찍었네용 ㅎㅎ 튼튼하고 어깨쪽이 푹신하니 넘 좋아요,, 대학가방으로 안성맞춤 저는 수납공간도 막 엄청 많이 필요한 편이 아니라 딱 좋습니다 ~~"
2022.02.13,맥북 13인치 파우치 넣어서 잘들어가요 길들이는덴 시간 좀 들긴할듯..
2022.02.13,칼하트니까 믿고샀는데 잘 산것 같습니다 대딩인디 들고다니기 예뿌여
2022.02.09,너무크지 않고 딱 적당하고 패드랑 전공책 한 두권 정도가 딱 적당할거같아여
2022.02.06,"15인치 그램 잘 들어가고 아이패드, 전공서적 넣으면 딱 맞는 크기입니다. 중고등학생이 쓰기엔 수납이 좀 아쉬울 것 같긴 합니다"
2022.02.05,디자인 심플하고 가벼워서 잘 들고다닐 수 있을 것 같아용
2022.02.05,"생각보다 작긴 한데
무난하게 쓰기 좋네요
맘에 듭니다 ㅎㅎ"
2022.02.04,무난하고 이뻐요. 너무 무겁지도 않고 가벼운데에 비해 튼튼해 보이구요. 주머니가 적은건 좀 아쉽네요.
2022.01.27,지퍼를 열고 닫을 때 불편하고 가방이 너무 납작해요 가볍게 들고다닐땐 좋을거같아요
2021.12.14,"엄청 튼튼해서 오래 사용할 수 있을 것 같아요
수납공간이 몇개 없다는 점이 조금 아쉽ㅜㅜ"
2021.12.11,"수납공간이 앞주머니 밖에 없어서 아쉽지만, 디자인과 색감이 예쁘고 깔끔해서 어떤 옷에 스타일해도 무난한 것 같네요."
2021.12.10,"칼하트라 역시 재질은 좋습니다 그냥 무난무난해여
가격대비 충분히 살만한듯"
2021.12.02,쪼그마한 키링같은거 달고다니면 뭔가 기분 좋아지는 가방이에요 사이즈도 수납도 적당해서 무난하게 갖고다닐 수 있어요
2021.11.18,디자인은 심플하고 그냥 무난하게 맬 수 있는 가방이에요 ! 다만 가방 열면 안쪽에 따로 분리된거 없이 하나의 공간으로만 되어 있어서 그 부분은 조금 아쉬웠는데 그래도 크기 적당하고 전체적으로는 괜찮아요
2021.11.16,무난하게 매일 잘 들고다니고있어요. 고딩인데 가방 유치해보이지도않고 유행안탈 것 같아서 샀어요.
2021.11.14,처음 들었을때 어깨 부분이 너무 아파서 불편했어요. 그리고 끈 조절하는 부분이 거칠어서 옷이랑 마찰이 생기면서 보풀이 생겨서 불편해요ㅠ 디자인은 너무 마음에 드는데 생각보다 별로인것 같아요
2021.11.13,크기는 좀 작지만 그래도 들어갈건 다 들어요 깔끔해서 예뻐요
2021.11.06,"후드티나 맨투맨에 기본으로 메기 좋아요!
생각했던거보다 사이즈가 작지만 그래도 만족합니다"
2021.11.05,무난무난하게 매기 좋은 백팩인 갓 같아요! 수납공간이 많은 건 아니지만 책 두세권에 필통 물통까지는 들어가는 사이즈에요!
2021.10.31,기본백팩 필요해서 샀는데 막 메고 다니기 좋아요
2021.10.23,너무 예뻐요! 근데 수납 공간이 없어서 좀 아쉬워요
2021.10.22,깔끔한 디자인이라 가볍고 예뻐요! 포켓이 하나밖에 없는게 단점이지만 전 주머니가 많이 필요없어서 신경안쓰였습니다!
2021.10.22,생각보다 안에 들어갈수있는 폭이 커서 좋았습니다
2021.10.20,전체적으로 다 마음에 드는데 수납이 적어서 좀 걸립니다 그래도 휘뚜르 마뚜르 잘 메고 다닙니둥 ~
2021.10.18,"버스에 앉으면 다리가 다 가려지는 크기였어요 !
노트북도 들어가고 생각했던 거보다 많이 들어가더라구요 :)"
2021.10.18,미니멀한 디자인에 실용성좋고 가볍네요 도서관가기에 좋은 가방인듯합니다
2021.10.17,가볍고 많이 들어가고 색도 맘에들고 천도탄탄해서좋다
2021.10.17,앞 주머니에 칸으로 나눠져 있어서 좋은데 큰가방안에는 수납공간이 없어서 아쉽지만 예쁘게 잘 사용중입니다
2021.10.15,"그렇게 크진 않아요
그냥 데일리로 막 메고 다니기 좋음"
2021.10.12,노트북 13인치를 보호 가방에 넣어도 쏙 들어가요 수납공간은 아쉽지만 이곳 저곳 어디든 매치해도 잘 어울려요
2021.10.11,생각했던거 보다 조금 작은데 책 두권정도 넣고 다니기 편해요
2021.10.11,가볍고 보조 가방으로 들기 좋을 것 같음 수납 공간이 그렇게 막 크진 않고 가격 대비 딱 좋은 것 같음
2021.10.08,심플하고 조와요 원하던 디자인 입니다 감사합니다
2021.10.07,가방 뭐살지 고민하다가 남들이 많이 쓰는 칼하트로 샀는데 무난하니 좋아요! 근데 수납공간이 좀 작은게 아쉬워요
2021.10.06,"생각보다 살짝 아기자기 해서 놀라긴했지만
그래도 은근히 수납공간도 많고 들어갈건 다들어가서 좋네요~ 앞주머니에 또 수납 할수있는 칸도있어서 아주 훌륭합니당ㅎㅎ 새거여서 그런지 끈조절하는게 어려웠지만 그래도익숙해 질것같아서 아무 만족스럽습니당 ㅎㅎ"
2021.10.05,"중학생 학원가방으로 좋아요
아들도 좋아하네요"
2021.10.03,휘뚜루마뚜루 착용 가능ㅎ 싼 가격에 잘 샀어요 마음에 듭니당
2021.10.02,사고 싶은데 돈이 없어서 못 사고 있었는데 세일 하길래 그냥 질렀습니다 존좋
2021.10.01,가볍고 수납공간도 딱 적당히 있어서 좋아요 일단 디자인이 다 먹고 들어갑니다
2021.09.30,생각했던것보다 훨씬 색이 예뻐서 좋습니다 가볍게 잘 들고다닐것같아용
2021.09.29,"배송도 빠르고 상품도 예뻐요 로고가 확실히
예쁘네여"
2021.09.28,크기도 적당하고 수납공간도 적당해서 편하게 들고다니기 좋아요
2021.09.25,요즘 백팩들 너무 다 크고 투박해서 거북이 등딱지 같은데 칼하트는 사이즈도 적당하고 디자인도 무난해서 저에게 적당한 것 같습니다.
2021.09.21,만족쓰합니다. 물건도 적당히 들어가고 좋네요큽
2021.09.18,공간 구분은 확실히 적어서 수납공간은 적지만 가방 자체가 막 작진않아요!! 노트북 17인치는 확실히 안 들어가서 보조가방?용으로 쓸 것 같아요
2021.09.18,남성분들이 쓰기에는 좀 작을 수도 있다고 생각이 듭니다 이뻐여
2021.09.18,살짝 작긴한대 캐주얼하게 매고 다니려고 산거라 적당한듯해요
2021.09.17,정말 제가 너무너무 갖고 싶었던 스타일이에요 색깔이나 재질이나 사이즈까지 다 완벽해요 작아보이는데 은근히 많이 들어가고 어느 패션에나 잘 어울려서 앞으로 애용할 것 같아요 고민하는 분들 다들 서두르세요
2021.09.17,"생각보다 크기는 작어요
학원가방용으로구매한거라 간단히 메고다닐수 있네요"
2021.09.16,가방 가이즈는 보통이에요 수납공간은 많지 않지만 그래도 부족하다고 느껴지지는 않아요
2021.09.15,가볍고 좋아요! 예쁘고 근데 다만 새상품이라 빳빳하다는 점..계속 메다보면 괜찮을 것 같아요 ㅎㅎ
2021.09.13,딱 제가 원하던 폭에 원하던 크기여서 매우 만족합니다!
2021.09.12,시험기간에 휘뚜루마뚜루 사용할 수 있는 기본템이에요! 가방 재질이 짱짱해서 무겁게 넣어도 가벼운 느낌
2021.09.12,너무 좋네요 친구 생일 선물로 사줬더니 학교 다시가고싶대요
2021.09.11,일단 학교가방으로는 별로인거 같고요 가볍게 학원 가방으로 좋은거 같아요!
2021.09.10,실물이 훨씬 예뻐요! 수납공간이 크진 않지만 적당하고 가벼워서 좋아요.
2021.09.10,가볍게 들고다닐 백팩이 필요해서 샀어요 옆구리에 주머니 있었으면 좋았겠다 싶어요
2021.09.09,좋아요! 여자가 써도 안커요. 적당한 크기에 재질은 좀 뻣뻣한데 그것대로 매력있어요
2021.09.08,유명한 건 이유가 있는 거 같아요! 이쁘고 깔끔해요
2021.09.08,너무 예쁘고 간단하게 들고 다니기 좋아요 하지만 수납공간이 좀 작다는 느낌
2021.09.08,친구한테 선물해준 가방인데 색도 예쁘고 휘뚜루 마뚜루 매기 좋은 것 같아용!
2021.09.01,한달 됐는데 좋아요! 수납공간이 많은 편은 아니지만 제가 쓰기에는 불편함이 딱히 없었습니다.
2021.09.01,"여자가 사용하기 아주 좋은 사이즈입니다
각도 잘잡혀있고 소재도 튼튼
아주 만족스러워요"
2021.09.01,좋아요. 부담없이 쓸 백팩 찾고있었는데 잘 쓸듯해요
2021.09.01,사이즈는 좀 작고 처음 받았을 때 쫌 빳빳해요. 그래도 짐 적을 때 써먹기 좋아요!
2021.09.01,"고등학생 아들 주려고 구매했는데
애가 덩치가 있어서 그런지 초등학생가방 같아
보여요 애가 도저히 멜 수 없대요
그냥 다른사람 줘야겠어요
반품비가 오천원이에요ㅠ"
2021.08.29,처음에는 먼지도 잘 묻고 수납공간도 부족하다고 생각했는데 생각보단 많이 들어갑니다!
2021.08.28,예뻐욘!! 튼튼하고 앞주머니도 꽤큽니다. 잘쓰겠습니다~
2021.08.27,상당히 마음에 듭니다 저렴한 가격에 잘 산것 같아요
2021.08.26,"마음에 들어요
가끔 앞에 흐믈(?)거리는 가방들 있는데 이건 안 그래서 너무 좋아요 완전 만족해요!"
2021.08.26,"일단 컬러가 ㄹㅈㄷ 너무 예뻐요 ㅠㅠ
할인 할 때 구매했는데 사기 참 잘한듯"
2021.08.21,가방에 수납공간 작을까봐 걱정했었는데 생각보다 많이 들어가고 심플해서 잘 매고 다닐꺼 같아요
2021.08.13,"다른 후기처럼 수납공간이 좀 부족하네요ㅠㅠ 그래도 그거 감안하고 산거라 나름 잘 사용중입니다!
저는 보통 노트북이랑 아이패드, 필통, 충전기 등등 넣어서 다니는데 다 들어가요! 저한테 사이즈는 적당한데, 좀 골격..?있으신분들에겐 작을 것 같아요! 남동생이 메봤는데 좀 작더라구요"
2021.08.12,상품 생각보다 커서 넉넉하게 물건 잘 들어갈 것 같네요:)
2021.08.09,예전부터 살까말까 고민 많이 했었는데 막상 사고나니까 유용하게 잘 쓰고 있고 대학생이 쓰기에 나쁘지 않은 것 같아요!
2021.08.07,이런느낌 가방 원했는데 심플하고 깔끔해서 좋아요. 가방이 흐물거리지 않아서 좋네요!
2021.08.03,역시 생각한대로 너무 이쁘네요 실물이 더 이뻐요
2021.08.03,"수납공간이 하나로 퉁쳐져 있어서

뭔가 많이 담으려는 사람에겐 비추

가볍게 들고 다니려는 사람에겐 강추"
2021.07.30,의류는 칼하트죠.. 힙찔이인듯 아닌듯 멋도 살짜쿵 내줄수도있고 모두 칼하트합시다
2021.07.28,살짝 작지만 모든 룩에 다 잘 어울리고 엄청 예쁩니다
2021.07.25,조아용 사이즈 적당해용 근데 너무 가방이 쁘억쁘억해서 ㅠ 힘드러용 가방끈도 좀 두꺼워용
2021.07.21,역시 칼하트... ♥ 크기도 적당하고 가벼워서 학원 갈 때나 독서실 갈 때 들면 좋을 거 같아여
2021.07.20,무게도 좋고 사이즈도 괜찮아요 수납공간이 별로 없는 것만 제외하면 다 괜찮은거같아요
2021.07.19,세일할때 잘 샀어요 너무 예뻐요 잘 메고 다닐것 같아요
2021.07.11,싼값에 이것저것 수납가능한 가방을 찾고 있었는데 싼만큼 따로 분리된 수납공간은 없지만 꽉 우겨넣으면 생각보다 많이 들어가요! 저는 원래 쓰던 가방이 있었는데 등쪽에 쿠션?같은 구멍난 곳 때문에 옷에 부푸러기가 생겨서 안쓰고 있었는데 이 가방는 등쪽이 매끈해서 좋았어요!
2021.07.10,가방 자체가 심플해서 학원가방으로 사용하기 좋아요~~
2021.07.09,엄청작네요 생각보다 흠 상체작은분들 추천드려요
2021.07.08,사진이 밝게 찍혔는데 쌩 블랙 색이에요! 예쁩니다 사이즈는 사진보다 작게 느껴지니 실측 사이즈 확인하시고 사세요
2021.07.08,사이즈 적당하고 가벼워서 좋아요 학생인데 좋아요
2021.07.07,크기가 큰편은 아니에요. 수납도 많지는 않지만 간단히 책 넣어다니기에 괜찮아요.
2021.07.03,생각보다 가방 안에 많이 들어가요 가볍게 들고 다니기 좋아요
2021.06.30,생각보다 빨리 왔고 퀄리티가 좋아요!! 새 거라서 그런지 좀 빳빳하지만 너무 패셔너블해요ㅠㅠ
2021.06.29,무난합니다 사이즈 작을줄 알았는데 그렇게 작진않아요
2021.06.25,사진보다는어둡고 완전검은색 무난해요! 간단하게매고다니기좋아요
2021.06.25,생각햇건것보다 사이즈가 작다고 생각됨 배송은 빠름
2021.06.23,"가방이 뻣뻣해서 각은 잘 잡히나, 안쪽 주머니가 하나도 없어요. 지퍼도 반쪽까지만 열려서 조금 답답한 느낌입니다. 학원용이라 그나마 잘 들고 다녀요."
2021.06.21,"튼튼해서 막 이리저리 들고다니기 좋아요
다음학기 제 등껍질이 될 예정임"
2021.06.16,"1. 수납공간이 많이 필요하신 분은 비추
2. 칼하트 상표 부분이 하얗지 않고 의외로 꺼매요
3. 가볍게 메기에 너무 예뻐요 가격도 착함 ??"
2021.06.14,가방 크기가 딱 적당하고 디자인이 심플하고 깔끔해서 어디든 잘 어울립니다
2021.06.10,생각보다 엄청 빳빳하긴 하지만 그만큼 튼튼해서 좋아요
2021.06.10,로고때문에 가방이 너무 이쁘고 크기도 적당해요!
2021.06.08,생각보다 작네요 초등학생 가방 훔쳐매는 기분이에요
2021.06.07,백팩 필요해서 고민하다가 유행 안 탈거같아서 샀는데 귀엽고 예뻐서 맨날 들고다녀요ㅎㅎ
2021.06.04,가격도 괜찮고 생각보다 수납 많이 되는거 같아요ㅎㅎ
2021.06.02,"너무 크지않고 적당한 사이즈의 백팩이 필요해서 샀는데, 데일리로 가볍게 맬수 있을거 같아서 너무 좋아요!"
2021.06.02,백팩 하나 사려고 이리저리 둘러보다가 무난하면서 예쁜 가방을 찾았어요ㅎㅎ 휘뚜루마뚜루 공부할때 자주 쓸 것 같아용
2021.05.30,사진이랑 색깔도 똑같고 가벼워서 들고다니기 편하고 좋아용!
2021.05.26,가방 예쁘고 가벼워요! 근데 생각보다는 좀 작아요 무난하게 잘 쓸 것 같아용
2021.05.23,무난한 디자인의 깔끔한 가방 들고다니기 편하고 좋음
2021.05.22,세달이나 썼는데 여전히 지퍼가 빡빡해요..영원히 부드러워지지 않을런지 ㅠ
2021.05.21,진짜 넘모 예뻐요 그냥.... 수납공간 부족하고 사이즈가 작아서 16인치 노트북이 겨우 들어가는 게 흠인데 너무 예뻐서 걍 맨날 들고 다닙니다ㅎ
2021.05.18,생각보다 작아서 조금 실망 가방은 늘 실측 비교하기가 어려움..
2021.05.15,가방 사이즈 딱 적당해서 어디 놀러갈 때나 학원 갈 때 책이랑 필통 같은 거 넣고 다니기에 좋아요 탄탄하고 학교 갈 때 들고다녀도 괜찮을 듯 굿
2021.05.07,데일리로 학교갈때 가볍게 메고다니기 좋습니다 다만 양쪽 어깨 다 메면 약간 유치원 가는 어린이처럼 보이긴한데 하튼 좋습니다
2021.05.03,처음에는 지퍼라던지 조금 딱딱해서 여닫기 불편했는데 쓰다보니까 익숙해지고 디자인도 이뻐서 좋아요
2021.05.01,"수납 공간 적긴한데 작고 예뻐요!
대학생 가방으로 딱!"
2021.04.30,딱 찾던 적당한 가방이라 좋아요 만족해요 이뻐요 가방
2021.04.28,샀을 때 조금 꺼끌거리지만 한달 정도 쓰니까 괜찮네요
2021.04.28,뒤에서 보면 딱 예쁜 사이즈는 아니에요. 근데 칼하트는 칼하트대로 예쁜거 아시죠 ?? 로고도 맘에 드는 위치고 만족합니다 !!
2021.04.23,사이즈 적당히 넉넉하니 이뻐요. 키 너무 크시거나 덩치 큰 분 빼고는 다 어울릴 듯!
2021.04.17,칼하트 트레이드 시리즈 백팩 블랙. 원단 탄탄하고 예뻐요
2021.04.16,저렴한 가격인데 수량이 하나 남았길래 급하게 구매했습니다 배송은 주문 다음날 받았고 소재가 힘이 있어서 길들이는데 조금 시간이 필요할 것 같습니다 크기도 적당하고 만족합니다
2021.04.15,좋은가격에 좋은상품 잘 받았습니다 딱 깔끔한게 내스탈
2021.04.12,은근 공간도 크고 착용하는 느낌이 좋아요 이뻐서 샀습니다.
2021.04.10,아이가골라서주문하고 스스로 만족하며 잘들고다닙니다.
2021.04.06,가볍게 예쁘게 들고다닐 수 있는 심플한 가방인 것 같아요 너무 만족합니다
2021.04.05,"가방 내구성이 생각보다 튼튼해요!
옆에 물통 자리?가 없어서 살짝 실망했었지만
없어서 더 예쁜거 같아요!! 잘쓰고있습니다!"
2021.04.03,베이직하고 좋네요!! 근데 가방안에 조금 더 수납성이있었으면 좋았을거같아요ㅠㅠ
2021.03.31,그냥 딱 막 메고 다니기 좋아요 생각보다 수납공간도 넓고 근데 지퍼가 좀 불편하긴 해요
